iter	Passed	Remaining
401	17172	25545
402	17230	25525
403	17270	25478
404	17309	25430
405	17347	25380
406	17402	25356
407	17446	25314
408	17505	25295
409	17543	25245
410	17586	25202
411	17628	25158
412	17670	25115
413	17711	25069
414	17763	25039
415	17807	24999
416	17846	24950
417	17886	24903
418	17930	24862
419	17974	24822
420	18017	24779
421	18074	24756
422	18119	24716
423	18160	24671
424	18210	24637
425	18259	24602
426	18318	24582
427	18368	24548
428	18411	24505
429	18453	24461
430	18498	24421
431	18543	24381
432	18602	24358
433	18642	24312
434	18684	24268
435	18722	24219
436	18763	24173
437	18819	24146
438	18859	24100
439	18902	24057
440	18948	24018
441	18990	23974
442	19035	23933
443	19094	23911
444	19141	23873
445	19186	23832
446	19226	23785
447	19272	23746
448	19320	23709
449	19380	23686
450	19425	23646
451	19464	23598
452	19507	23555
453	19548	23509
454	19612	23491
455	19657	23451
456	19709	23418
457	19752	23374
458	19800	23337
459	19851	23304
460	19903	23271
461	19943	23224
462	19991	23186
463	20033	23141
464	20071	23092
465	20125	23061
466	20169	23020
467	20221	22986
468	20262	22941
469	20304	22896
470	20363	22871
471	20407	22828
472	20453	22788
473	20494	22743
474	20540	22702
475	20580	22655
476	20644	22635
477	20689	22594
478	20729	22547
479	20769	22499
480	20812	22456
481	20853	22411
482	20906	22378
483	20945	22330
484	20989	22288
485	21030	22241
486	21075	22201
487	21124	22162
488	21179	22131
489	21224	22090
490	21270	22049
491	21311	22004
492	21349	21956
493	21390	21910
494	21455	21889
495	21497	21844
496	21540	21800
497	21589	21763
498	21634	21720
499	21693	21693
500	21736	21649
501	21783	21609
502	21831	21571
503	21873	21526
504	21917	21483
505	21973	21452
506	22014	21406
507	22055	21360
508	22097	21316
509	22136	21268
510	22192	21237
511	22233	21190
512	22274	21145
513	22318	21102
514	22355	21053
515	22499	21103
516	22559	21076
517	22604	21033
518	22650	20992
519	22694	20948
520	22747	20913
521	22787	20867
522	22847	20838
523	22890	20793
524	22936	20751
525	22977	20706
526	23017	20658
527	23057	20611
528	23119	20584
529	23163	20541
530	23207	20497
531	23253	20455
532	23297	20412
533	23343	20370
534	23403	20341
535	23446	20297
536	23488	20251
537	23532	20207
538	23577	20165
539	23641	20138
540	23693	20102
541	23734	20055
542	23774	20009
543	23817	19964
544	23858	19918
545	23913	19884
546	23956	19839
547	23997	19793
548	24038	19747
549	24077	19699
550	24131	19664
551	24171	19617
552	24216	19574
553	24260	19530
554	24301	19484
555	24342	19439
556	24413	19417
557	24456	19372
558	24500	19328
559	24543	19284
560	24584	19238
561	24625	19192
562	24684	19159
563	24725	19114
564	24774	19073
565	24818	19030
566	24861	18985
567	24903	18940
568	24969	18913
569	25008	18866
570	25051	18821
571	25094	18777
572	25137	18732
573	25184	18691
574	25237	18653
575	25284	18612
576	25331	18570
577	25383	18532
578	25444	18501
579	25489	18457
580	25532	18413
581	25572	18366
582	25611	18319
583	25644	18267
584	25681	18218
585	25721	18171
586	25767	18129
587	25814	18087
588	25851	18039
589	25893	17993
590	25935	17948
591	25976	17902
592	26016	17856
593	26065	17815
594	26105	17768
595	26152	17727
596	26193	17681
597	26230	17633
598	26272	17587
599	26318	17545
600	26359	17500
601	26410	17460
602	26452	17415
603	26495	17371
604	26541	17329
605	26585	17284
606	26620	17235
607	26659	17188
608	26701	17143
609	26734	17092
610	26768	17042
611	26809	16996
612	26841	16945
613	26877	16897
614	26913	16848
615	26954	16803
616	26994	16756
617	27030	16708
618	27064	16658
619	27105	16612
620	27146	16567
621	27185	16520
622	27225	16475
623	27265	16429
624	27301	16381
625	27340	16334
626	27379	16287
627	27417	16240
628	27451	16191
629	27485	16142
630	27520	16093
631	27555	16044
632	27593	15998
633	27630	15950
634	27671	15905
635	27711	15860
636	27746	15811
637	27783	15764
638	27819	15716
639	27858	15670
640	27897	15624
641	27937	15578
642	27975	15532
