iter	Logloss
0	0.6929225313
1	0.6927760322
2	0.6926009325
3	0.6924819859
4	0.6923915829
5	0.6922872725
6	0.6921766977
7	0.6920901558
8	0.6920205169
9	0.6919596028
10	0.6918567504
11	0.6917519161
12	0.6916965717
13	0.6915873522
14	0.6915087493
15	0.6914663327
16	0.6913720114
17	0.6912835561
18	0.6912111835
19	0.6911584589
20	0.6911131036
21	0.6910556862
22	0.6909854436
23	0.6909013848
24	0.6908566787
25	0.6908136584
26	0.6907410808
27	0.6907042339
28	0.690649106
29	0.6906206422
30	0.6905816767
31	0.6905297152
32	0.6904831525
33	0.6904509072
34	0.6903943555
35	0.690370835
36	0.6903393642
37	0.6903084401
38	0.6902769352
39	0.6902280717
40	0.6901711555
41	0.6901245929
42	0.6900894887
43	0.6900657403
44	0.6900169566
45	0.6899878778
46	0.6899791302
47	0.6899561108
48	0.6899229885
49	0.6899020877
50	0.6898652408
51	0.6898400004
52	0.6898228925
53	0.6898002718
54	0.6897725256
55	0.6897466587
56	0.6897189239
57	0.6897038548
58	0.6896685455
59	0.6896382252
60	0.6896169029
61	0.6895893959
62	0.6895751469
63	0.6895570822
64	0.6895334364
65	0.6894978424
66	0.6894830012
67	0.6894604033
68	0.6894334999
69	0.6894160275
70	0.6893889533
71	0.6893643507
72	0.6893186879
73	0.6893060449
74	0.689292468
75	0.6892739819
76	0.6892590153
77	0.6892336496
78	0.689219822
79	0.6892026002
80	0.6891737606
81	0.6891503881
82	0.6891392942
83	0.6891202614
84	0.6891038824
85	0.6890787901
86	0.6890445743
87	0.6890192542
88	0.6890041623
89	0.6889913371
90	0.6889700604
91	0.6889536815
92	0.6889371886
93	0.6889193518
94	0.6888896806
95	0.6888675383
96	0.6888404527
97	0.6888089478
98	0.6887878647
99	0.6887702329
100	0.6887440585
101	0.6887143645
102	0.6887069838
103	0.6886852401
104	0.6886539744
105	0.6886287339
106	0.6886082432
107	0.6885810209
108	0.6885592886
109	0.6885398116
110	0.688527442
111	0.6885091153
112	0.688490709
113	0.6884785785
114	0.6884533381
115	0.6884226305
116	0.6884058187
117	0.6883852027
118	0.6883707259
119	0.688357559
120	0.6883231951
121	0.6882965651
122	0.6882724637
123	0.6882488293
124	0.6882234636
125	0.688195239
126	0.6881593488
127	0.6881424915
128	0.688126534
129	0.688114563
130	0.6880884912
131	0.6880507103
132	0.688029445
133	0.6880006281
134	0.6879715378
135	0.6879365931
136	0.6879088582
137	0.6878817612
138	0.6878577623
139	0.6878410189
140	0.687818216
141	0.6878006981
142	0.6877820411
143	0.6877597849
144	0.6877433262
145	0.6877187123
146	0.6876927998
147	0.6876621605
148	0.6876236393
149	0.6875963487
150	0.6875478155
151	0.6875241242
152	0.6874944758
153	0.6874677433
154	0.6874454301
155	0.6874187318
156	0.6873930016
157	0.6873676131
158	0.6873481817
159	0.6873212327
160	0.6872770848
161	0.6872362058
162	0.6872056348
163	0.6871811462
164	0.6871570334
165	0.6871324422
166	0.6871038873
167	0.6870678491
168	0.6870427795
169	0.6870067527
170	0.6869743593
171	0.686932216
172	0.6869108824
173	0.6868784662
174	0.6868552077
175	0.686827712
176	0.6868026197
177	0.6867765136
178	0.6867548383
179	0.6867231739
180	0.6866987536
181	0.6866802105
182	0.6866521796
183	0.6866324064
184	0.6866079177
185	0.6865871308
186	0.686560273
187	0.6865284719
188	0.6865050311
189	0.6864841645
190	0.6864569422
191	0.6864308134
192	0.6864058805
193	0.6863893877
194	0.6863605708
195	0.6863396472
196	0.6863167759
197	0.6862990302
198	0.686278323
199	0.686252889
200	0.686227865
201	0.6862058821
202	0.6861863481
203	0.6861706754
204	0.6861478041
205	0.6861269603
206	0.6860933026
207	0.6860683014
208	0.686040931
209	0.686013424
210	0.6859870446
211	0.6859635354
212	0.6859344566
213	0.6859094098
214	0.6858780643
215	0.6858581317
216	0.6858307271
217	0.6858126055
218	0.685783595
219	0.6857591405
220	0.6857274305
221	0.6857040809
222	0.6856739085
223	0.685637278
224	0.6856124818
225	0.6855950664
226	0.6855686984
227	0.6855496428
228	0.6855290495
229	0.6855089005
230	0.6854741152
231	0.6854558911
232	0.6854291927
233	0.6854053533
234	0.6853821289
235	0.6853570594
236	0.6853310558
237	0.6853049156
238	0.6852749711
239	0.6852497648
240	0.6852221211
241	0.6851982133
242	0.6851725856
243	0.6851473794
244	0.6851206469
245	0.6850826724
246	0.6850620563
247	0.6850324877
248	0.6850093203
249	0.684985515
250	0.6849583041
251	0.6849431895
252	0.6849178124
253	0.6849013082
254	0.684876717
255	0.6848562148
256	0.6848326488
257	0.6848055746
258	0.6847822818
259	0.6847551051
260	0.6847397171
261	0.6847158321
262	0.6846974713
263	0.6846741445
264	0.6846574922
265	0.6846209186
266	0.6845990269
267	0.6845840375
268	0.6845597881
269	0.684543318
270	0.6845203328
271	0.684494933
272	0.6844762874
273	0.6844507395
274	0.684427629
275	0.6843988349
276	0.6843829571
277	0.6843607578
278	0.6843375904
279	0.6843238768
280	0.6842992173
281	0.6842784645
282	0.6842522901
283	0.6842218331
284	0.6841955334
285	0.68415552
286	0.6841345395
287	0.6841145727
288	0.6840916103
289	0.684075163
290	0.6840463803
291	0.6840169711
292	0.6839936215
293	0.6839686316
294	0.6839404526
295	0.6839100297
296	0.6838944594
297	0.6838674308
298	0.6838500951
299	0.6838292057
300	0.6838184421
301	0.6837870738
302	0.6837611386
303	0.6837392127
